first_name,last_name,birth_date,nationality,position
Max,Aarons,2000-01-04,England,Defender
Zach,Abbott,2006-05-13,England,Defender
Josh,Acheampong,2006-05-05,England,Defender
Adama,Traoré,1996-01-25,Spain,Forward
Tyler,Adams,1999-02-14,USA,Midfielder
Tosin,Adarabioyo,1997-09-24,England,Defender
Elijah,Adebayo,1998-01-07,England,Forward
Valentin,Adedokun,2003-02-14,Nigeria,Forward
Simon,Adingra,2002-01-01,Ivory Coast,Forward
Adrián,,1987-01-03,Spain,Goalkeeper
Nayef,Aguerd,1996-03-30,Morocco,Defender
Enock,Agyei,2005-01-13,England,Forward
Naouirou,Ahamada,2002-03-29,France,Midfielder
Anel,Ahmedhodžić,1999-03-26,Bosnia and Herzegovina,Defender
Ola,Aina,1996-10-08,Nigeria,Defender
Rayan,Aït Nouri,2001-06-06,Algeria,Defender
Kristoffer,Ajer,1998-04-17,Norway,Defender
Manuel,Akanji,1995-07-19,Switzerland,Defender
Nathan,Aké,1995-02-18,Netherlands,Defender
Ameen,Al-Dakhil,2002-03-06,Iraq,Defender
Álex,Moreno,1993-06-08,Spain,Defender
Trent,Alexander-Arnold,1998-10-07,England,Defender
Alisson,Becker,1992-10-02,Brazil,Goalkeeper
Max,Alleyne,2005-07-21,England,Defender
Dele,Alli,1996-04-11,England,Midfielder
Miguel,Almirón,1994-02-10,Paraguay,Midfielder
Edson,Álvarez,1997-10-24,Mexico,Midfielder
Julián,Alvarez,2000-01-31,Argentina,Forward
Harry,Amass,2007-03-16,England,Defender
Zeki,Amdouni,2000-12-04,Switzerland,Forward
Jordan,Amissah,2001-08-02,Ghana,Goalkeeper
Sofyan,Amrabat,1996-08-21,Morocco,Midfielder
Joseph,Anang,2000-06-08,Ghana,Goalkeeper
Joachim,Andersen,1996-05-31,Denmark,Defender
Mads,Andersen,1997-12-27,Denmark,Defender
Elliot,Anderson,2002-11-06,Scotland,Midfielder
André,Gomes,1993-07-30,Portugal,Midfielder
Andreas,Pereira,1996-01-01,Brazil,Midfielder
Vincent,Angelini,2003-09-12,England,Goalkeeper
Ansu,Fati,2002-10-31,Spain,Forward
Michail,Antonio,1990-03-28,Jamaica,Forward
Antony,,2000-02-24,Brazil,Forward
Ollie,Arblaster,2004-05-05,England,Midfielder
Cameron,Archer,2001-12-09,England,Forward
Alphonse,Aréola,1993-02-27,France,Goalkeeper
Harry,Arter,1989-12-28,Ireland,Midfielder
Benjamin,Arthur,2005-10-09,England,Defender
Lorenz,Assignon,2000-06-22,France,Defender
Noël,Atom,2005-01-05,England,Defender
Brandon,Austin,1999-01-08,USA,Goalkeeper
Taiwo,Awoniyi,1997-08-12,Nigeria,Forward
Jordan,Ayew,1991-09-11,Ghana,Forward
Benoît,Badiashile,2001-03-26,France,Defender
Leon,Bailey,1997-08-09,Jamaica,Forward
Stefan,Bajčetić,2004-10-22,Spain,Midfielder
Ellery,Balcombe,1999-10-15,England,Goalkeeper
George,Baldock,1993-03-09,Greece,Defender
Carlos,Baleba,2004-01-03,Cameroon,Midfielder
Fodé,Ballo-Touré,1997-01-03,Senegal,Defender
Shandon,Baptiste,1998-04-08,Grenada,Midfielder
Valentín,Barco,2004-07-23,Argentina,Defender
Ross,Barkley,1993-12-05,England,Midfielder
Harvey,Barnes,1997-12-09,England,Midfielder
Ty,Barnett,2005-07-19,England,Midfielder
Luca,Barrington,2004-12-12,England,Forward
Chris,Basham,1988-07-20,England,Defender
Calvin,Bassey,1999-12-31,Nigeria,Defender
Joe,Bauress,2006-03-01,England,Midfielder
Altay,Bayındır,1998-04-14,Turkey,Goalkeeper
Amari'i,Bell,1994-05-05,Jamaica,Defender
Jean,Bellegarde,1998-06-27,France,Midfielder
Anis,Ben Slimane,2001-03-16,Tunisia,Midfielder
Steven,Benda,1998-10-01,Germany,Goalkeeper
Manuel,Benson,1997-03-28,Belgium,Forward
Rodrigo,Bentancur,1997-06-25,Uruguay,Midfielder
Daniel,Bentley,1993-07-13,England,Goalkeeper
Sander,Berge,1998-02-14,Norway,Midfielder
Bernardo,Silva,1994-08-10,Portugal,Midfielder
Luke,Berry,1992-07-12,England,Midfielder
Beto,,1998-01-31,Portugal,Forward
Marcus,Bettinelli,1992-05-24,England,Goalkeeper
Jordan,Beyer,2000-05-19,Germany,Defender
Philip,Billing,1996-06-11,Denmark,Midfielder
Yves,Bissouma,1996-08-30,Mali,Midfielder
Billy,Blacker,2006-05-25,England,Forward
Benicio,Boaitey,2004-01-09,England,Forward
