name,city,capacity
Emirates Stadium,London (Holloway),60704
Villa Park,Birmingham,42657
Dean Court,Bournemouth,11307
Brentford Community Stadium,London (Brentford),17250
Falmer Stadium,Falmer,31876
Turf Moor,Burnley,21944
Stamford Bridge,London (Fulham),40173
Selhurst Park,London (Selhurst),25486
Goodison Park,Liverpool (Walton),39414
Craven Cottage,London (Fulham),24500
Anfield,Liverpool (Anfield),61276
Kenilworth Road,Luton,12000
City of Manchester Stadium,Manchester (Bradford),53400
Old Trafford,Manchester (Old Trafford),74031
St James' Park,Newcastle upon Tyne,52257
City Ground,West Bridgford,30404
Bramall Lane,Sheffield,32050
Tottenham Hotspur Stadium,London (Tottenham),62850
London Stadium,London (Stratford),62500
Molineux Stadium,Wolverhampton,31750
