name,city,founded_year
Arsenal,London (Holloway),1886
Aston Villa,Birmingham,1874
Bournemouth,Bournemouth,1899
Brentford,London (Brentford),1889
Brighton & Hove Albion,Falmer,1901
Burnley,Burnley,1882
Chelsea,London (Fulham),1905
Crystal Palace,London (Selhurst),1905
Everton,Liverpool (Walton),1878
Fulham,London (Fulham),1879
Liverpool,Liverpool (Anfield),1892
Luton Town,Luton,1885
Manchester City,Manchester (Bradford),1880
Manchester United,Manchester (Old Trafford),1878
Newcastle United,Newcastle upon Tyne,1892
Nottingham Forest,West Bridgford,1865
Sheffield United,Sheffield,1889
Tottenham Hotspur,London (Tottenham),1882
West Ham United,London (Stratford),1895
Wolverhampton Wanderers,Wolverhampton,1877
